velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
11.9,154.1,-1.89,-1.0,-9.67,-2.3,996.0,39.905322,32.804875,-101.8,10,0.2,12.2,7.05,0.75,0.41,14:01:09.486
12.8,165.1,2.59,-1.36,-11.95,-2.4,994.1,39.90534,32.804909,-94.8,12,1.8,12.7,-3.4,-2.54,0.07,14:01:09.587
9.2,185.8,-1.13,0.34,-8.05,-2.5,990.8,39.905292,32.804946,-98.7,13,0.6,9.8,-12.4,-11.89,5.01,14:01:09.689
12.3,195.2,-1.93,2.35,-10.13,-2.6,990.2,39.905358,32.804945,-87.4,14,0.8,11.1,-3.59,-3.23,6.25,14:01:09.789
11.2,207.0,2.75,-2.24,-10.88,-3.6,988.5,39.905337,32.804933,-103.3,15,1.7,9.7,-4.43,3.22,1.01,14:01:09.890
14.2,225.1,0.97,1.8,-11.22,-2.6,986.0,39.905318,32.804926,-97.7,16,1.4,14.1,-3.19,-1.27,5.51,14:01:09.991
13.8,246.7,-5.77,-4.66,-10.76,-3.5,983.7,39.905318,32.804911,-86.3,17,0.1,13.3,8.74,-1.4,-4.84,14:01:10.091
15.4,261.6,-3.94,0.93,-9.13,-3.8,983.1,39.905332,32.804946,-88.9,18,0.9,15.5,0.56,-0.83,-0.01,14:01:10.192
19.5,264.7,-4.44,3.24,-7.92,-2.7,982.8,39.905325,32.804887,-97.7,19,0.2,17.2,5.24,1.87,-4.77,14:01:10.293
21.1,267.2,4.91,-0.25,-8.69,-3.3,981.2,39.905297,32.804922,-92.8,20,1.6,21.1,0.65,3.26,1.08,14:01:10.394
19.4,302.7,-0.55,-0.52,-11.67,-3.3,978.0,39.905342,32.804906,-87.9,21,0.1,18.9,4.83,-4.67,-6.91,14:01:10.495
20.4,293.1,3.86,-2.13,-9.01,-2.8,978.9,39.905312,32.804913,-88.7,22,1.5,21.7,-1.93,-6.8,4.11,14:01:10.596
18.3,313.7,0.5,0.41,-9.4,-3.9,977.3,39.90534,32.804907,-100.6,23,1.7,19.6,4.87,-5.33,7.14,14:01:10.697
24.0,332.7,1.74,0.62,-9.49,-3.3,974.0,39.905355,32.804938,-100.2,24,0.8,25.7,-1.6,-8.3,-1.26,14:01:10.797
20.7,361.3,0.02,-0.94,-9.48,-4.0,971.0,39.905333,32.804925,-100.5,25,1.0,21.0,2.66,6.43,3.79,14:01:10.898
23.3,360.9,4.29,-1.32,-10.83,-3.7,970.5,39.905336,32.804915,-86.3,26,0.0,21.4,3.72,0.51,-3.21,14:01:10.999
22.5,396.6,1.29,-0.83,-9.72,-3.5,966.8,39.905311,32.804923,-87.4,27,2.0,23.2,2.41,1.29,6.83,14:01:11.100
26.8,396.8,-3.43,6.75,-9.46,-4.3,966.7,39.90536,32.804922,-99.8,28,1.3,25.1,4.88,4.67,3.36,14:01:11.201
27.7,418.6,1.27,0.54,-8.84,-4.1,963.9,39.905351,32.804948,-86.7,29,0.3,26.2,6.91,-0.59,-2.74,14:01:11.302
27.5,410.4,0.71,2.86,-9.89,-4.5,965.9,39.905331,32.804919,-87.4,30,1.2,27.2,3.2,4.57,-3.45,14:01:11.403
27.8,435.7,-0.7,-1.85,-10.43,-4.0,963.0,39.905314,32.804895,-87.0,31,0.5,28.2,-2.74,2.97,8.86,14:01:11.504
29.7,456.6,-1.54,-3.43,-9.8,-4.1,960.8,39.90535,32.804957,-96.1,32,1.8,30.3,-4.13,-4.8,2.09,14:01:11.604
30.0,439.6,3.76,-3.83,-9.42,-4.3,961.8,39.905323,32.804918,-85.3,33,1.8,29.0,1.01,-4.66,2.73,14:01:11.705
30.7,463.7,2.27,2.17,-9.84,-3.9,960.1,39.905335,32.804901,-103.8,34,1.5,31.3,4.25,-7.75,2.77,14:01:11.806
31.1,479.1,3.79,-1.93,-10.32,-4.1,957.7,39.905347,32.80495,-97.5,35,0.9,31.6,2.7,0.51,7.3,14:01:11.906
