velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
4.2,22.8,-1.28,0.48,-10.13,-1.7,1010.7,39.905326,32.80492,-89.7,1,0.4,4.5,1.18,-9.12,-5.19,13:46:54.321
1.2,22.0,0.04,0.69,-8.42,-1.7,1009.5,39.905287,32.804935,-104.8,2,1.2,1.3,3.28,-0.44,-4.88,13:46:54.423
1.8,24.9,-0.17,1.85,-8.77,-1.8,1009.9,39.905316,32.804891,-91.6,3,0.8,2.5,-1.27,-4.62,2.06,13:46:54.524
2.9,41.3,-3.32,-0.28,-9.52,-1.9,1008.4,39.905317,32.8049,-90.5,4,0.4,4.4,-0.62,-4.33,3.66,13:46:54.624
4.7,72.9,-0.7,-2.27,-9.46,-2.1,1004.4,39.905277,32.804895,-90.8,5,1.9,3.9,-2.67,-4.39,-2.35,13:46:54.725
3.4,81.3,0.52,-4.25,-12.09,-2.0,1004.2,39.905334,32.804936,-87.0,6,0.5,3.0,-3.01,-3.96,3.5,13:46:54.826
5.7,88.8,-1.39,2.26,-11.67,-1.9,1003.2,39.905341,32.80489,-95.3,7,0.7,5.7,-8.64,4.98,3.41,13:46:54.927
3.4,98.6,-2.42,1.47,-10.05,-2.8,1002.5,39.905306,32.804923,-85.2,7,1.5,4.4,0.32,3.77,1.72,13:46:55.027
9.1,112.1,0.81,2.22,-9.73,-1.7,999.8,39.905293,32.804939,-99.1,9,0.6,9.2,-7.87,7.51,0.11,13:46:55.128
10.7,131.8,0.38,-0.08,-8.51,-2.0,998.4,39.905324,32.80489,-98.0,9,1.4,10.2,0.44,-0.27,5.73,13:46:55.229
