velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp,altitude_raw,altitude_kalman,velocity_raw,velocity_kalman,vertical_velocity_raw,vertical_velocity_kalman
5.7,9.8,-0.53,-1.98,-9.49,-1.5,1012.1,39.905312,32.804916,-90.4,1,0.7,5.2,-8.48,-2.74,-5.02,17:47:01.281,9.8,9.8,5.7,5.7,5.2,5.2
4.5,10.2,-0.08,3.33,-8.69,-2.2,1007.5,39.905308,32.804926,-90.1,2,1.6,3.0,0.75,4.24,-0.16,17:47:01.381,45.3,10.2,0,4.5,1.0,3.0
4.1,10.6,-1.58,-4.69,-9.02,-2.4,1007.9,39.905326,32.80488,-90.6,3,0.4,2.2,0.8,1.73,-4.11,17:47:01.482,46.1,10.6,2.1,4.1,0.8,2.2
4.0,11.0,3.06,2.74,-10.21,-1.4,1008.6,39.905315,32.80488,-96.9,4,0.9,2.2,4.06,9.15,6.86,17:47:01.583,39.0,11.0,3.6,4.0,2.1,2.2
4.1,11.7,2.3,-2.29,-12.16,-1.6,1005.6,39.905335,32.804939,-85.9,5,1.8,2.7,2.04,3.85,-0.95,17:47:01.683,68.9,11.7,4.7,4.1,4.3,2.7
4.6,12.8,1.5,-2.74,-8.52,-2.7,1002.9,39.905278,32.804893,-86.9,6,1.7,3.6,0.22,8.6,10.04,17:47:01.784,88.1,12.8,7.4,4.6,6.5,3.6
5.0,14.0,-1.65,-0.29,-10.53,-1.8,1002.7,39.905274,32.804899,-89.5,7,0.9,4.5,7.32,-4.72,-2.33,17:47:01.884,91.3,14.0,7.7,5.0,7.5,4.5
5.1,15.8,0.69,0.75,-8.67,-2.6,997.3,39.905302,32.80488,-86.0,7,0.9,4.5,2.15,1.59,-1.98,17:47:01.985,130.6,15.8,6.1,5.1,4.8,4.5
5.7,17.5,1.61,0.38,-10.26,-2.5,999.2,39.905274,32.804902,-103.3,9,0.1,5.8,-2.28,-6.06,6.03,17:47:02.085,117.6,17.5,9.9,5.7,10.5,5.8
5.9,19.7,-0.12,3.83,-9.87,-2.5,996.2,39.905312,32.804906,-99.8,9,1.6,6.1,-4.05,-1.1,-4.69,17:47:02.186,145.9,19.7,7.3,5.9,7.2,6.1
6.4,22.2,0.29,-2.18,-10.61,-2.5,994.1,39.905293,32.804918,-96.7,10,0.5,7.2,7.58,6.14,5.56,17:47:02.287,157.7,22.2,10.4,6.4,11.4,7.2
6.7,25.0,3.14,0.52,-11.85,-2.2,992.1,39.905314,32.804913,-95.2,12,0.6,7.3,-1.31,0.38,1.56,17:47:02.387,173.8,25.0,9.3,6.7,8.0,7.3
7.1,28.0,3.15,-0.32,-9.99,-2.5,992.2,39.905317,32.804956,-102.6,13,0.4,8.0,0.87,-1.68,-0.37,17:47:02.488,185.0,28.0,10.4,7.1,10.9,8.0
8.2,31.7,3.27,1.67,-11.94,-2.3,987.5,39.905332,32.804918,-102.6,14,0.6,9.5,4.38,-2.13,5.2,17:47:02.589,212.5,31.7,16.7,8.2,15.3,9.5
