velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
2.0,11.5,0.41,4.59,-9.35,-1.7,1012.1,39.90533,32.80492,-94.9,1,0.4,2.4,1.76,-3.82,-0.92,14:01:06.569
1.0,40.9,-1.8,0.5,-9.23,-2.1,1008.4,39.905305,32.804901,-100.3,2,1.6,0.6,4.96,3.01,-3.14,14:01:06.670
3.2,49.6,-2.78,0.23,-10.9,-1.4,1007.0,39.905325,32.804889,-92.0,3,0.7,4.2,-1.42,-6.7,0.67,14:01:06.771
4.9,52.1,-2.24,-2.68,-9.75,-1.9,1006.0,39.905317,32.80494,-94.9,4,1.2,4.7,1.05,2.35,0.94,14:01:06.871
0,72.8,-0.17,2.58,-10.9,-1.4,1004.0,39.90532,32.804913,-87.8,5,0.3,-0.0,-3.53,-0.21,-11.87,14:01:06.972
5.0,76.0,-1.62,0.67,-8.11,-2.3,1004.7,39.905284,32.804918,-90.8,6,1.7,6.1,7.79,5.58,-4.13,14:01:07.073
8.8,88.7,-0.38,-2.74,-9.11,-2.0,1003.5,39.905288,32.80493,-98.9,7,1.7,8.8,10.78,-4.26,1.73,14:01:07.174
7.2,111.2,3.17,2.01,-8.42,-2.5,1000.2,39.905277,32.804888,-97.7,7,1.9,7.2,0.76,2.63,1.59,14:01:07.275
7.5,133.8,1.54,-0.35,-9.64,-2.7,998.0,39.905314,32.804901,-101.9,9,1.2,8.1,-7.64,-7.64,-0.28,14:01:07.376
8.5,147.9,0.85,0.01,-9.12,-2.9,996.1,39.905324,32.804918,-94.1,9,1.2,7.5,-0.51,-2.85,-0.72,14:01:07.477
