velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
4.0,15.4,-4.53,-2.25,-9.43,-1.8,1010.6,39.905277,32.804898,-94.9,1,2.0,2.4,2.97,-4.75,-4.27,13:50:50.990
1.1,31.0,1.05,2.18,-8.35,-1.7,1009.8,39.905285,32.804915,-94.3,2,0.3,0.8,0.43,3.26,-4.73,13:50:51.091
4.0,58.9,-3.54,5.39,-11.12,-1.9,1006.5,39.905309,32.804927,-88.6,3,0.5,4.3,0.68,-0.5,0.94,13:50:51.192
8.9,65.3,1.0,-2.46,-9.56,-1.7,1006.0,39.90532,32.804868,-95.7,4,1.1,10.7,-1.91,7.21,-3.47,13:50:51.293
4.6,62.2,-0.7,2.03,-10.33,-1.6,1005.7,39.905326,32.804924,-94.3,5,1.7,5.5,-4.81,-7.26,-7.5,13:50:51.393
2.9,78.3,-2.2,-1.91,-8.89,-2.6,1004.0,39.905295,32.804905,-89.7,6,0.4,3.6,-4.97,-1.92,-3.2,13:50:51.494
6.9,96.4,-0.81,0.44,-8.57,-2.4,1001.4,39.905325,32.804903,-89.3,7,1.9,7.6,-4.01,-0.25,1.4,13:50:51.595
8.1,108.5,1.52,-1.08,-10.71,-1.9,1001.4,39.905289,32.804918,-88.3,7,1.9,8.8,1.11,-8.75,-1.28,13:50:51.696
6.3,116.2,-0.58,1.32,-10.17,-2.6,1000.0,39.905327,32.804904,-94.6,9,1.7,6.8,-6.21,-5.3,-4.96,13:50:51.797
9.6,138.0,-3.62,0.59,-12.87,-2.0,996.5,39.90529,32.804928,-87.2,9,1.3,11.8,5.16,-2.85,-2.21,13:50:51.898
9.5,145.0,2.63,0.66,-9.09,-2.8,996.2,39.905327,32.80492,-89.9,10,1.2,10.1,0.58,-4.49,-3.28,13:50:51.999
10.4,164.5,3.22,-0.53,-8.67,-2.7,993.5,39.905296,32.804899,-86.2,12,1.8,10.4,1.13,-3.2,-2.72,13:50:52.100
11.2,198.6,0.44,4.7,-10.5,-2.7,989.6,39.905287,32.804911,-92.3,13,1.1,10.7,-2.39,-6.46,4.35,13:50:52.201
10.2,201.2,2.2,2.07,-11.55,-2.6,989.4,39.905291,32.804891,-95.9,14,0.4,10.0,3.48,0.48,5.71,13:50:52.301
9.7,210.2,0.67,1.1,-10.41,-2.9,988.1,39.905315,32.804908,-98.7,15,0.7,9.1,-2.68,-1.13,0.48,13:50:52.402
15.9,227.8,0.58,2.08,-10.33,-2.5,986.3,39.90532,32.804896,-97.7,16,0.2,16.8,-1.84,-5.08,6.37,13:50:52.503
18.6,244.3,-2.33,0.74,-10.22,-2.8,984.5,39.905295,32.804949,-99.6,17,1.9,19.7,2.0,-3.99,-0.08,13:50:52.603
