velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
0.5,15.4,3.18,1.8,-10.06,-0.8,1011.0,39.905308,32.80492,-86.3,1,1.6,-1.2,-0.32,3.66,5.85,14:49:29.323
1.8,27.9,3.28,0.66,-10.1,-2.0,1009.4,39.905308,32.80488,-93.5,2,0.8,2.0,-3.09,-2.66,2.19,14:49:29.425
2.1,51.6,-1.22,-0.11,-10.0,-2.0,1007.1,39.905304,32.8049,-102.0,3,0.8,0.8,-0.43,-5.44,3.67,14:49:29.526
5.0,59.9,2.59,6.51,-10.9,-2.3,1006.1,39.905297,32.804891,-101.3,4,1.9,4.4,-0.4,2.62,-3.63,14:49:29.626
3.7,55.8,-1.85,-6.78,-11.77,-1.9,1006.3,39.90525,32.804914,-104.1,5,0.4,5.7,-0.1,-5.88,-0.48,14:49:29.727
7.7,80.5,0.08,-1.4,-10.49,-2.0,1004.2,39.905311,32.804928,-103.4,6,0.8,6.0,-13.75,-2.26,-7.44,14:49:29.828
8.3,109.9,-2.88,3.42,-8.6,-2.2,1000.4,39.905334,32.804928,-85.5,7,1.5,8.3,2.04,6.8,1.27,14:49:29.929
5.5,104.3,1.76,-1.21,-9.04,-2.3,1001.0,39.90532,32.804921,-97.0,7,1.4,6.1,2.87,1.44,6.83,14:49:30.029
7.6,113.0,-0.04,-1.71,-9.74,-2.0,1000.0,39.905315,32.804893,-102.5,9,0.1,6.9,-6.89,-7.67,3.23,14:49:30.130
6.2,139.8,-0.47,-4.22,-7.91,-2.6,996.4,39.905331,32.804893,-89.3,9,0.3,5.6,0.05,4.57,-4.23,14:49:30.231
7.0,153.6,-1.08,-2.48,-10.76,-2.4,995.3,39.905312,32.804928,-104.2,10,0.0,7.9,-11.46,-1.07,-7.02,14:49:30.332
11.9,171.4,2.39,1.14,-9.28,-2.4,993.4,39.90531,32.804909,-93.7,12,1.3,11.9,-4.97,-4.72,-9.75,14:49:30.433
11.5,171.6,-0.65,2.82,-10.83,-2.9,992.7,39.90531,32.804909,-98.9,13,1.9,10.5,-3.64,1.73,3.84,14:49:30.535
13.1,202.5,1.62,-0.49,-7.6,-2.5,990.4,39.905294,32.804883,-89.5,14,1.5,14.3,15.42,-4.64,9.52,14:49:30.635
11.2,207.3,-4.27,-0.69,-9.48,-2.6,989.0,39.905303,32.804923,-100.1,15,1.2,10.9,-3.23,3.45,-5.46,14:49:30.736
13.5,213.0,0.1,-1.69,-8.48,-2.7,987.7,39.905339,32.804947,-97.9,16,1.7,13.7,-2.46,1.2,-7.58,14:49:30.837
13.5,234.7,-4.23,0.13,-6.56,-2.9,985.9,39.905297,32.804921,-96.3,17,1.0,12.7,1.41,-7.02,-2.43,14:49:30.939
18.7,257.4,-1.25,-0.72,-10.01,-2.9,983.2,39.905305,32.804897,-103.5,18,1.8,19.3,2.78,0.47,3.52,14:49:31.040
18.8,253.5,-2.42,0.09,-11.09,-3.2,984.0,39.905342,32.804915,-95.9,19,0.0,17.5,8.13,-6.92,3.53,14:49:31.141
17.9,271.5,0.37,1.55,-9.0,-3.2,980.3,39.905344,32.804945,-101.6,20,0.4,16.6,-7.31,4.06,-12.83,14:49:31.241
19.1,287.2,1.81,-0.3,-10.84,-3.6,979.6,39.905284,32.804926,-89.3,21,0.6,18.7,1.72,3.2,1.56,14:49:31.342
18.1,313.3,1.88,-0.44,-12.25,-3.0,976.8,39.90532,32.804912,-85.4,22,1.3,18.4,9.21,1.28,-2.23,14:49:31.442
20.5,320.8,-3.04,2.01,-12.05,-3.3,974.6,39.905296,32.80493,-100.4,23,1.7,19.8,-8.72,-2.45,1.26,14:49:31.543
20.3,330.3,-0.46,-0.59,-9.74,-4.0,973.4,39.905334,32.804915,-86.8,24,0.9,21.0,1.25,-1.14,0.13,14:49:31.644
20.2,351.2,1.84,-1.95,-8.83,-3.2,971.9,39.905315,32.804898,-85.6,25,1.7,20.4,2.64,-7.13,-9.12,14:49:31.745
23.6,364.1,-4.48,0.43,-10.16,-3.2,970.8,39.905369,32.804905,-92.9,26,1.7,23.9,2.29,-0.8,2.28,14:49:31.846
25.7,354.5,-4.73,5.15,-9.82,-3.9,972.2,39.905341,32.804943,-87.7,27,1.1,28.4,-0.79,-1.57,-2.78,14:49:31.946
24.6,394.3,1.39,4.26,-10.64,-4.4,966.9,39.905331,32.804929,-90.2,28,1.9,21.9,4.5,7.99,0.06,14:49:32.047
