velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp,altitude_raw,altitude_kalman,velocity_raw,velocity_kalman,vertical_velocity_raw,vertical_velocity_kalman
1.3,13.2,1.43,2.62,-8.53,-1.6,1012.0,39.905326,32.804894,-85.2,1,0.1,-0.3,-5.96,5.6,-4.64,12:58:21.179,13.2,13.2,1.3,1.3,-0.3,-0.3
40.7,0.0,-1.3,-0.68,-8.77,-1.8,1013.2,39.90651,32.806078,-90.4,1200,0.4,38.5,1.49,5.0,2.22,12:58:21.229,0,0.0,38.6,40.7,36.4,38.5
3.4,0.0,2.3,-2.07,-10.32,-1.7,1013.7,39.907656,32.807276,-95.8,2350,0.2,1.5,4.13,9.15,4.09,12:58:21.279,0,0.0,0,3.4,0.4,1.5
0.0,0.0,2.98,4.35,-10.45,-1.4,1013.5,39.908971,32.808584,-92.0,3695,0.9,-0.0,2.07,-7.34,4.8,12:58:21.329,0,0.0,0,0.0,-0.3,-0.0
106.3,0.0,-2.31,-3.9,-8.18,-1.5,1012.9,39.910196,32.809847,-90.0,4898,1.7,102.3,-3.67,2.55,-9.13,12:58:21.379,0,0.0,100.2,106.3,99.0,102.3
133.3,2723.2,1.26,-1.31,-9.14,-17.5,736.5,39.911981,32.81155,-85.0,6648,1.1,131.1,-1.67,2.98,-1.18,12:58:21.430,2713.5,2723.2,129.5,133.3,130.0,131.1
0.0,2683.7,1.32,1.37,-10.83,-17.8,736.8,39.913124,32.812675,-92.6,7798,1.8,0.2,1.77,-1.37,2.46,12:58:21.495,2699.6,2683.7,0,0.0,1.2,0.2
0.0,0.0,1.3,0.99,-9.49,-1.6,1012.6,39.914019,32.81369,-88.6,8765,1.6,-0.2,0.55,-1.81,10.25,12:58:21.545,0,0.0,0,0.0,0.8,-0.2
0.0,0.0,-1.32,2.88,-10.1,-1.1,1012.9,39.915305,32.814884,-101.6,9997,2.0,0.3,-6.8,-8.12,13.35,12:58:21.595,0,0.0,0,0.0,0.2,0.3
47.8,0.0,-1.16,2.08,-8.34,-1.8,1013.9,39.916567,32.816155,-95.3,11257,0.0,44.2,-0.25,1.08,-2.81,12:58:21.647,0,0.0,41.9,47.8,42.2,44.2
122.9,2069.5,1.88,1.03,-8.08,-14.4,793.2,39.918018,32.817623,-103.5,12735,1.5,124.9,7.82,-4.76,7.32,12:58:21.712,2078.8,2069.5,130.4,122.9,129.8,124.9
0.2,423.2,-1.31,1.91,-11.81,-4.2,960.1,39.919207,32.818738,-96.0,13855,0.8,1.0,9.93,6.78,2.45,12:58:21.763,463.0,423.2,0,0.2,2.5,1.0
13.1,598.3,-1.53,1.68,-12.14,-5.7,941.6,39.920408,32.820026,-98.4,15125,1.2,15.3,-3.83,-3.14,9.75,12:58:21.813,621.1,598.3,17.0,13.1,18.3,15.3
0.0,0.0,3.68,-2.22,-11.55,-1.4,1012.8,39.921591,32.821171,-102.0,16273,0.8,-0.2,5.58,-2.52,4.04,12:58:21.864,0,0.0,0,0.0,-1.4,-0.2
2.6,100.3,2.18,-3.01,-9.04,-2.0,996.1,39.922894,32.822483,-103.2,17602,1.9,0.4,-3.93,5.75,-3.73,12:58:21.914,140.0,100.3,0,2.6,-0.4,0.4
0.0,0.0,-0.94,-3.29,-8.72,-1.3,1013.2,39.924064,32.82364,-92.3,18740,0.0,0.4,-2.76,-4.32,-1.2,12:58:21.963,0,0.0,0,0.0,-0.7,0.4
0.0,2545.5,-2.56,-0.99,-8.38,-16.7,752.3,39.925819,32.825426,-102.3,20508,1.8,0.3,-0.44,-3.1,-2.26,12:58:22.014,2529.7,2545.5,0,0.0,0.2,0.3
150.2,2704.6,3.03,1.11,-10.65,-17.7,738.4,39.927047,32.826613,-89.6,21731,0.9,149.8,-3.03,5.5,-5.02,12:58:22.079,2692.1,2704.6,148.4,150.2,147.3,149.8
0.0,2469.2,2.79,2.43,-11.22,-16.8,758.9,39.928355,32.827936,-104.6,23033,0.3,0.1,7.06,9.14,2.94,12:58:22.130,2451.1,2469.2,0,0.0,-0.8,0.1
0.0,2658.5,1.42,-0.41,-6.12,-17.1,741.4,39.929562,32.829193,-90.8,24257,0.1,0.5,3.59,-6.75,-7.38,12:58:22.180,2655.3,2658.5,0,0.0,0.7,0.5
44.9,0.0,0.06,2.35,-10.04,-1.6,1013.4,39.931364,32.830975,-101.7,26054,1.8,46.5,6.11,2.78,8.34,12:58:22.245,0,0.0,48.5,44.9,48.3,46.5
76.5,0.0,3.03,1.52,-8.51,-2.0,1012.9,39.932568,32.832152,-94.9,27257,1.5,75.7,9.56,-6.07,-4.01,12:58:22.295,0,0.0,74.4,76.5,74.5,75.7
0.2,0.0,-3.28,-2.28,-7.78,-1.4,1013.7,39.933616,32.833236,-90.0,28307,1.3,-0.7,-0.96,-1.29,-3.94,12:58:22.346,0,0.0,0,0.2,-1.0,-0.7
0.0,2799.7,-0.33,-0.38,-8.78,-18.0,729.7,39.934561,32.834137,-92.0,29228,1.9,0.1,-8.9,5.55,-1.41,12:58:22.396,2796.1,2799.7,0,0.0,0.3,0.1
0.0,2800.9,1.31,-0.18,-10.55,-18.9,729.3,39.935804,32.835406,-100.8,30483,1.7,-0.1,1.13,0.24,1.34,12:58:22.447,2802.3,2800.9,0,0.0,-0.1,-0.1
150.2,2775.8,-0.09,-1.37,-10.29,-18.3,730.8,39.936997,32.836656,-99.1,31707,1.4,148.9,5.49,-8.09,0.5,12:58:22.513,2780.5,2775.8,148.3,150.2,146.4,148.9
0.0,2770.5,-1.71,0.73,-10.3,-18.4,731.2,39.93833,32.837898,-90.4,33017,2.0,-0.4,2.19,0.42,-0.9,12:58:22.564,2773.0,2770.5,0,0.0,-0.2,-0.4
103.5,1608.2,2.13,5.17,-7.93,-10.3,841.4,39.939757,32.83931,-101.8,34437,1.4,100.7,5.84,-0.61,-2.54,12:58:22.619,1584.2,1608.2,98.1,103.5,99.8,100.7
0.0,1556.9,-0.08,-0.45,-9.03,-10.5,847.6,39.941006,32.840617,-85.7,35698,0.6,0.4,0.58,-1.48,-3.18,12:58:22.667,1521.7,1556.9,0,0.0,1.1,0.4
0.0,2713.1,-0.75,0.61,-10.3,-18.2,737.6,39.942053,32.841695,-95.4,36806,2.0,-0.4,-8.78,-2.85,-3.69,12:58:22.714,2694.1,2713.1,0,0.0,-0.7,-0.4
8.1,200.5,0.64,-4.1,-8.59,-3.1,985.1,39.943025,32.842621,-99.6,37715,1.9,10.5,1.54,2.33,-0.98,12:58:22.776,243.6,200.5,14.3,8.1,13.9,10.5
39.6,0.0,0.29,-0.49,-11.78,-1.5,1012.7,39.943922,32.843464,-99.9,38604,1.0,41.4,-0.65,2.41,-1.69,12:58:22.816,0,0.0,43.7,39.6,44.0,41.4
77.1,0.0,-1.62,-0.18,-11.15,-1.2,1012.9,39.945047,32.844631,-88.3,39764,1.7,76.7,1.83,-0.15,3.36,12:58:22.879,0,0.0,80.1,77.1,79.8,76.7
95.2,1456.5,-0.79,2.65,-9.23,-10.5,856.4,39.946034,32.845668,-103.7,40733,0.6,91.3,-5.61,4.09,-2.33,12:58:22.929,1428.3,1456.5,90.3,95.2,88.3,91.3
7.7,1521.8,-0.64,-2.73,-8.02,-10.9,843.6,39.946867,32.846506,-103.8,41585,1.5,6.5,1.12,-3.79,4.26,12:58:22.980,1560.6,1521.8,7.0,7.7,5.9,6.5
67.4,0.0,-0.41,1.23,-11.54,-1.6,1013.1,39.947929,32.847525,-96.8,42647,1.4,63.5,8.35,-5.27,-2.69,12:58:23.046,0,0.0,60.1,67.4,59.8,63.5
4.0,151.6,-1.22,1.42,-12.86,-2.4,1000.9,39.948656,32.848249,-100.1,43344,0.9,3.3,3.36,6.26,0.99,12:58:23.084,106.3,151.6,0,4.0,0.7,3.3
11.3,251.2,1.72,4.24,-8.15,-2.6,978.9,39.949333,32.848894,-93.2,44002,0.6,13.8,5.05,3.21,-6.47,12:58:23.131,289.7,251.2,16.8,11.3,16.2,13.8
13.5,455.4,-3.56,5.27,-9.31,-4.0,965.1,39.949869,32.849506,-103.3,44580,1.6,12.1,-0.2,-1.71,2.87,12:58:23.197,418.1,455.4,12.4,13.5,13.1,12.1
44.4,0.0,0.07,-2.3,-10.35,-1.4,1013.2,39.95047,32.850091,-104.3,45176,0.2,42.4,5.76,0.01,2.63,12:58:23.247,0,0.0,39.2,44.4,41.7,42.4
77.8,0.0,-0.43,-2.48,-11.11,-1.7,1013.4,39.951368,32.851009,-88.6,46083,0.6,76.8,-3.94,-1.74,-5.62,12:58:23.313,0,0.0,75.1,77.8,73.6,76.8
149.7,2658.5,4.1,0.32,-12.62,-17.4,741.2,39.95217,32.851771,-85.8,46876,1.0,148.4,5.42,-4.28,6.44,12:58:23.362,2657.0,2658.5,148.4,149.7,146.0,148.4
0.0,0.0,2.5,-0.24,-11.23,-1.5,1013.3,39.953043,32.852632,-87.4,47708,0.4,-0.1,-7.22,11.73,-2.0,12:58:23.413,0,0.0,0,0.0,0.3,-0.1
159.1,0.0,-4.56,1.03,-9.08,-2.0,1012.9,39.954117,32.853721,-95.6,48795,1.5,156.9,3.3,0.31,4.3,12:58:23.463,0,0.0,154.0,159.1,153.1,156.9
0.0,0.0,0.07,-1.52,-9.81,-1.4,1013.1,39.955016,32.854618,-85.5,49710,1.9,-0.7,2.91,3.69,-0.3,12:58:23.513,0,0.0,0,0.0,-2.8,-0.7
117.2,2552.5,-2.24,5.22,-9.95,-17.4,752.1,39.955962,32.85555,-102.7,50667,0.2,114.1,1.8,-8.31,9.54,12:58:23.564,2541.7,2552.5,112.5,117.2,112.2,114.1
0.0,2788.0,1.85,-1.94,-8.56,-18.3,729.7,39.957108,32.856672,-103.3,51822,0.7,-0.2,1.03,1.87,-4.12,12:58:23.613,2794.8,2788.0,0,0.0,-0.1,-0.2
143.5,2416.9,-0.88,1.63,-8.21,-15.9,763.4,39.958523,32.858079,-97.5,53202,1.5,142.3,2.64,-0.38,-2.48,12:58:23.678,2403.6,2416.9,143.7,143.5,142.6,142.3
0.0,2097.8,3.36,-0.46,-11.8,-14.0,792.7,39.959807,32.859363,-102.9,54497,0.6,0.2,6.72,3.85,0.21,12:58:23.729,2086.4,2097.8,0,0.0,0.7,0.2
0.0,2756.6,0.1,-0.7,-8.34,-18.3,734.1,39.96095,32.860561,-101.4,55643,1.8,0.0,4.22,1.03,1.57,12:58:23.780,2741.2,2756.6,0,0.0,0.2,0.0
29.2,943.4,1.93,-1.53,-8.86,-7.2,912.2,39.962423,32.862009,-104.0,57111,1.2,26.1,-6.96,2.93,-5.99,12:58:23.830,892.6,943.4,25.8,29.2,25.2,26.1
0.0,1429.0,2.3,-2.18,-8.85,-9.5,860.1,39.963615,32.863223,-88.0,58329,1.8,-0.1,-1.83,-1.45,2.23,12:58:23.896,1392.3,1429.0,0,0.0,-1.2,-0.1
79.8,1195.5,-1.33,0.47,-6.45,-8.4,884.9,39.964876,32.864502,-87.2,59605,1.8,76.3,-4.81,-9.78,2.07,12:58:23.930,1158.2,1195.5,74.8,79.8,73.8,76.3
0.0,82.8,3.26,-2.41,-10.15,-1.6,1007.2,39.966244,32.865854,-104.2,60944,1.4,-0.0,1.77,3.05,-1.33,12:58:23.996,50.0,82.8,0,0.0,0.2,-0.0
5.5,239.1,-3.43,2.15,-10.88,-3.0,989.7,39.967488,32.86709,-95.3,62189,0.1,4.8,3.71,-2.76,-0.61,12:58:24.047,195.2,239.1,7.3,5.5,6.3,4.8
0.0,0.0,-0.64,1.68,-11.15,-1.5,1013.1,39.968868,32.868476,-91.1,63559,1.9,0.3,-3.71,7.1,-5.47,12:58:24.112,0,0.0,0,0.0,1.1,0.3
0.0,1495.8,-0.85,0.79,-10.31,-10.2,853.4,39.969907,32.869499,-100.8,64607,1.5,0.2,3.06,7.89,-3.93,12:58:24.163,1463.2,1495.8,0,0.0,-0.7,0.2
126.7,2711.3,-2.18,0.86,-10.48,-18.3,735.4,39.97093,32.870492,-99.0,65610,1.1,128.2,-4.8,-3.03,-2.52,12:58:24.214,2731.7,2711.3,132.3,126.7,132.5,128.2
6.1,462.5,-0.15,-2.74,-11.01,-3.9,956.6,39.97194,32.871545,-99.2,66638,1.6,7.1,2.1,-4.29,0.98,12:58:24.263,497.1,462.5,7.7,6.1,7.8,7.1
62.8,0.0,1.59,-1.41,-8.52,-1.6,1013.4,39.973055,32.872669,-102.0,67787,1.0,59.2,0.47,3.32,6.55,12:58:24.320,0,0.0,57.0,62.8,55.3,59.2
121.3,2038.7,2.7,3.02,-11.43,-14.1,794.1,39.974572,32.874191,-96.9,69281,1.3,123.1,3.7,-6.74,8.77,12:58:24.378,2073.4,2038.7,124.5,121.3,126.0,123.1
0.0,1038.7,-6.26,-0.57,-9.92,-7.9,892.1,39.975734,32.875346,-90.2,70450,0.9,0.5,-4.32,-8.36,-5.28,12:58:24.429,1077.6,1038.7,0,0.0,1.6,0.5
9.4,481.5,-2.16,-0.84,-10.39,-4.4,952.8,39.976978,32.876538,-90.6,71665,1.7,11.6,-14.32,-0.51,1.34,12:58:24.479,519.8,481.5,11.4,9.4,12.8,11.6
0.0,0.0,-0.52,-1.57,-8.31,-1.3,1012.8,39.9781,32.877701,-87.3,72800,1.9,-0.4,1.54,2.19,7.78,12:58:24.530,0,0.0,0,0.0,-0.5,-0.4
0.0,1293.8,3.09,-2.71,-11.07,-9.3,866.6,39.979526,32.879128,-95.4,74241,1.8,0.2,1.86,-1.67,1.36,12:58:24.595,1327.1,1293.8,0,0.0,0.7,0.2
79.9,1350.9,2.49,-2.32,-13.13,-9.4,860.3,39.980834,32.880401,-98.0,75501,2.0,83.0,2.99,5.94,-5.31,12:58:24.646,1383.4,1350.9,85.8,79.9,86.0,83.0
0.0,923.4,-1.81,0.79,-10.76,-7.1,905.7,39.982007,32.881629,-92.1,76725,1.6,-0.1,0.43,4.21,-0.72,12:58:24.696,952.7,923.4,0,0.0,0.4,-0.1
0.0,0.0,1.03,3.36,-11.71,-1.4,1012.8,39.983239,32.882771,-93.8,77899,1.2,-0.6,-2.85,1.09,-1.97,12:58:24.746,0,0.0,0,0.0,-1.3,-0.6
